,hmmsearching_for,target_name,target_accession,query_name,query_accession,e-value,score,bias,best_domain_e-value,best_domain_score,best_domain_bias,exp,reg,clu,ov,env,dom,rep,inc,query_description,SAG
33,CrtB,Phyto_syn_CrtB,NF042419.1,AH-611-L08_AH-611-L08_contigs_AH-611-L08_NODE_12_10,-,1.2e-19,56.9,0.4,2.9e-19,55.7,0.4,1.6,1,1,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-611-L08
34,CrtB,Phyto_syn_CrtB,NF042419.1,AH-611-L08_AH-611-L08_contigs_AH-611-L08_NODE_12_11,-,1.3e-34,106.1,0.0,1.8e-34,105.7,0.0,1.2,1,0,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-611-L08
35,CrtB,Phyto_syn_CrtB,NF042419.1,AM-332-K22_AM-332-K22_contigs_AM-332-K22_NODE_8_32,-,5.7e-50,156.5,0.9,7.7e-50,156.1,0.9,1.1,1,0,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-332-K22
36,CrtB,Phyto_syn_CrtB,NF042419.1,AM-332-K22_AM-332-K22_contigs_AM-332-K22_NODE_17_2,-,5.9e-18,51.4,0.0,8.7e-18,50.8,0.0,1.2,1,0,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-332-K22
37,CrtB,Phyto_syn_CrtB,NF042419.1,AM-216-O15_AM-216-O15_contigs_AM-216-O15_NODE_4_52,-,1.3e-44,139.0,0.7,1.6e-44,138.6,0.7,1.1,1,0,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-216-O15
38,CrtB,Phyto_syn_CrtB,NF042419.1,AM-216-O15_AM-216-O15_contigs_AM-216-O15_NODE_9_20,-,2.6e-17,49.3,0.0,8.6e-17,47.6,0.0,1.7,2,0,0,2,2,2,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-216-O15
39,CrtB,Phyto_syn_CrtB,NF042419.1,AM-262-I18_AM-262-I18_contigs_AM-262-I18_NODE_6_24,-,4.2e-14,38.7,0.0,1.4e-13,37.0,0.0,1.8,1,1,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-262-I18
40,CrtB,Phyto_syn_CrtB,NF042419.1,AM-235-L04_AM-235-L04_contigs_AM-235-L04_NODE_3_2,-,1.3e-42,132.4,0.2,1.2e-41,129.2,0.2,1.9,1,1,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-235-L04
41,CrtB,Phyto_syn_CrtB,NF042419.1,AH-562-A11_AH-562-A11_contigs_AH-562-A11_NODE_1_92,-,5.3e-06,12.1,0.0,8.3e-06,11.5,0.0,1.2,1,0,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-562-A11
42,CrtB,Phyto_syn_CrtB,NF042419.1,AM-164-P10_AM-164-P10_contigs_AM-164-P10_NODE_21_3,-,1.1e-05,11.0,0.0,1.7e-05,10.4,0.0,1.2,1,0,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-164-P10
43,CrtB,Phyto_syn_CrtB,NF042419.1,AH-735-D04_AH-735-D04_contigs_AH-735-D04_NODE_6_3,-,3.6e-06,12.7,0.0,5.5e-06,12.1,0.0,1.2,1,0,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-735-D04
44,CrtB,Phyto_syn_CrtB,NF042419.1,AH-982-I14_AH-982-I14_contigs_AH-982-I14_NODE_8_30,-,7.9e-06,11.6,0.0,1.2e-05,10.9,0.0,1.2,1,0,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-982-I14
45,CrtB,Phyto_syn_CrtB,NF042419.1,AM-332-C16_AM-332-C16_contigs_AM-332-C16_NODE_8_5,-,1.8e-43,135.2,0.1,1.9e-37,115.4,0.0,2.0,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-332-C16
46,CrtB,Phyto_syn_CrtB,NF042419.1,AM-332-M03_AM-332-M03_contigs_AM-332-M03_NODE_38_1,-,2.4e-31,95.4,0.0,2.6e-31,95.3,0.0,1.0,1,0,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-332-M03
47,CrtB,Phyto_syn_CrtB,NF042419.1,AM-332-M03_AM-332-M03_contigs_AM-332-M03_NODE_38_2,-,1.5e-07,17.2,0.0,1.7e-07,17.1,0.0,1.0,1,0,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-332-M03
48,CrtB,Phyto_syn_CrtB,NF042419.1,AM-332-F16_AM-332-F16_contigs_AM-332-F16_NODE_21_3,-,1.3e-43,135.7,0.0,1.4e-37,115.8,0.0,2.0,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-332-F16
49,CrtB,Phyto_syn_CrtB,NF042419.1,AH-473-F10_AH-473-F10_contigs_AH-473-F10_NODE_11_11,-,1.1e-30,93.3,2.6,6.9e-24,70.9,1.4,3.0,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-473-F10
50,CrtB,Phyto_syn_CrtB,NF042419.1,AH-982-G18_AH-982-G18_contigs_AH-982-G18_NODE_1_74,-,8.8e-34,103.4,0.0,1.2e-27,83.3,0.0,2.8,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-982-G18
51,CrtB,Phyto_syn_CrtB,NF042419.1,AH-985-G10_AH-985-G10_contigs_AH-985-G10_NODE_3_36,-,1.5e-33,102.6,0.4,3.3e-27,81.8,0.1,2.8,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-985-G10
52,CrtB,Phyto_syn_CrtB,NF042419.1,AH-470-P20_AH-470-P20_contigs_AH-470-P20_NODE_3_6,-,2.3e-39,121.7,0.4,1.9e-33,102.2,0.3,2.6,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-470-P20
53,CrtB,Phyto_syn_CrtB,NF042419.1,AM-235-M03_AM-235-M03_contigs_AM-235-M03_NODE_9_21,-,3.7e-36,111.2,0.0,1.7e-29,89.3,0.0,2.5,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-235-M03
54,CrtB,Phyto_syn_CrtB,NF042419.1,AM-235-E10_AM-235-E10_contigs_AM-235-E10_NODE_15_10,-,5.1e-41,127.1,0.2,2.1e-34,105.4,0.2,2.6,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-235-E10
55,CrtB,Phyto_syn_CrtB,NF042419.1,AM-235-C03_AM-235-C03_contigs_AM-235-C03_NODE_1_37,-,1.4e-35,109.2,0.2,1.4e-29,89.6,0.2,2.7,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-235-C03
56,CrtB,Phyto_syn_CrtB,NF042419.1,AH-613-A14_AH-613-A14_contigs_AH-613-A14_NODE_2_31,-,7.2e-36,110.2,0.2,1.1e-28,86.6,0.1,2.9,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-613-A14
57,CrtB,Phyto_syn_CrtB,NF042419.1,AM-235-P09_AM-235-P09_contigs_AM-235-P09_NODE_11_12,-,1.5e-36,112.5,0.1,9.5e-30,90.1,0.2,2.7,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-235-P09
58,CrtB,Phyto_syn_CrtB,NF042419.1,AM-235-E23_AM-235-E23_contigs_AM-235-E23_NODE_11_8,-,6.3e-34,103.8,0.0,4e-28,84.8,0.0,2.7,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-235-E23
59,CrtB,Phyto_syn_CrtB,NF042419.1,AM-216-D21_AM-216-D21_contigs_AM-216-D21_NODE_4_66,-,3.5e-37,114.5,0.0,4.8e-31,94.4,0.0,2.6,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-216-D21
60,CrtB,Phyto_syn_CrtB,NF042419.1,AM-235-O04_AM-235-O04_contigs_AM-235-O04_NODE_13_13,-,1.3e-40,125.8,0.1,1.5e-33,102.6,0.1,2.5,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-235-O04
61,CrtB,Phyto_syn_CrtB,NF042419.1,AM-262-C09_AM-262-C09_contigs_AM-262-C09_NODE_6_26,-,1.1e-35,109.6,0.3,1.1e-29,89.9,0.2,2.8,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-262-C09
62,CrtB,Phyto_syn_CrtB,NF042419.1,AM-235-G21_AM-235-G21_contigs_AM-235-G21_NODE_10_31,-,2.1e-33,102.2,2.0,5.6e-28,84.3,0.7,3.0,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-235-G21
63,CrtB,Phyto_syn_CrtB,NF042419.1,AM-332-G22_AM-332-G22_contigs_AM-332-G22_NODE_15_23,-,8.3e-37,113.3,0.7,4.9e-29,87.8,0.5,2.9,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-332-G22
64,CrtB,Phyto_syn_CrtB,NF042419.1,AM-288-P17_AM-288-P17_contigs_AM-288-P17_NODE_1_15,-,1.9e-33,102.3,0.0,5.9e-29,87.5,0.0,2.6,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-288-P17
65,CrtB,Phyto_syn_CrtB,NF042419.1,AH-985-K18_AH-985-K18_contigs_AH-985-K18_NODE_1_29,-,1.7e-33,102.4,0.0,1e-28,86.8,0.1,2.9,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-985-K18
66,CrtB,Phyto_syn_CrtB,NF042419.1,AH-470-M19_AH-470-M19_contigs_AH-470-M19_NODE_42_2,-,1.3e-15,43.7,0.0,5.1e-15,41.7,0.0,1.7,1,1,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-470-M19
67,CrtB,Phyto_syn_CrtB,NF042419.1,AM-276-J16_AM-276-J16_contigs_AM-276-J16_NODE_9_17,-,6.2e-36,110.4,0.0,1.2e-30,93.0,0.0,2.6,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-276-J16
68,CrtB,Phyto_syn_CrtB,NF042419.1,AH-473-J23_AH-473-J23_contigs_AH-473-J23_NODE_14_9,-,4e-31,94.6,0.0,1.5e-26,79.6,0.0,2.6,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-473-J23
69,CrtB,Phyto_syn_CrtB,NF042419.1,AH-611-N23_AH-611-N23_contigs_AH-611-N23_NODE_6_16,-,2.7e-35,108.3,0.2,1.8e-29,89.2,0.1,2.9,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-611-N23
70,CrtB,Phyto_syn_CrtB,NF042419.1,AM-121-N18_AM-121-N18_contigs_AM-121-N18_NODE_1_62,-,1.5e-35,109.2,0.1,5.5e-31,94.2,0.1,2.6,1,1,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-121-N18
71,CrtB,Phyto_syn_CrtB,NF042419.1,AH-470-N10_AH-470-N10_contigs_AH-470-N10_NODE_23_8,-,5.1e-33,100.9,0.0,1.1e-28,86.7,0.0,2.5,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-470-N10
72,CrtB,Phyto_syn_CrtB,NF042419.1,AH-473-F18_AH-473-F18_contigs_AH-473-F18_NODE_7_24,-,7.3e-34,103.6,0.1,1e-27,83.5,0.2,3.0,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-473-F18
73,CrtB,Phyto_syn_CrtB,NF042419.1,AH-473-J16_AH-473-J16_contigs_AH-473-J16_NODE_9_25,-,4e-36,111.1,0.7,2.7e-28,85.3,0.8,2.9,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-473-J16
74,CrtB,Phyto_syn_CrtB,NF042419.1,AH-473-O08_AH-473-O08_contigs_AH-473-O08_NODE_3_48,-,1.4e-32,99.5,0.0,1.3e-27,83.1,0.0,2.5,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-473-O08
75,CrtB,Phyto_syn_CrtB,NF042419.1,AH-985-C03_AH-985-C03_contigs_AH-985-C03_NODE_20_11,-,3e-33,101.6,0.1,3.9e-27,81.5,0.1,2.9,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-985-C03
76,CrtB,Phyto_syn_CrtB,NF042419.1,AM-332-N08_AM-332-N08_contigs_AM-332-N08_NODE_17_11,-,2.8e-36,111.6,0.0,7.2e-31,93.8,0.0,2.5,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-332-N08
77,CrtB,Phyto_syn_CrtB,NF042419.1,AM-235-M17_AM-235-M17_contigs_AM-235-M17_NODE_8_11,-,4.7e-34,104.3,0.7,1e-27,83.5,0.6,3.0,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-235-M17
78,CrtB,Phyto_syn_CrtB,NF042419.1,AH-473-D09_AH-473-D09_contigs_AH-473-D09_NODE_45_3,-,1.1e-36,112.9,0.1,7.1e-31,93.8,0.4,2.9,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-473-D09
79,CrtB,Phyto_syn_CrtB,NF042419.1,AM-276-D04_AM-276-D04_contigs_AM-276-D04_NODE_3_16,-,2.1e-37,115.3,0.0,6.1e-31,94.0,0.0,2.7,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-276-D04
80,CrtB,Phyto_syn_CrtB,NF042419.1,AH-613-A20_AH-613-A20_contigs_AH-613-A20_NODE_24_8,-,1.7e-33,102.4,0.0,1e-28,86.8,0.1,2.9,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-613-A20
81,CrtB,Phyto_syn_CrtB,NF042419.1,AH-470-A20_AH-470-A20_contigs_AH-470-A20_NODE_44_2,-,1.5e-36,112.5,0.0,7e-31,93.9,0.0,2.8,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-470-A20
82,CrtB,Phyto_syn_CrtB,NF042419.1,AH-468-K22_AH-468-K22_contigs_AH-468-K22_NODE_9_28,-,6.5e-29,87.4,0.5,1.2e-27,83.2,0.5,1.9,1,1,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-468-K22
83,CrtB,Phyto_syn_CrtB,NF042419.1,AH-985-A17_AH-985-A17_contigs_AH-985-A17_NODE_29_2,-,1.4e-33,102.7,0.2,1.3e-27,83.1,0.2,2.9,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-985-A17
84,CrtB,Phyto_syn_CrtB,NF042419.1,AM-332-I03_AM-332-I03_contigs_AM-332-I03_NODE_26_2,-,9.1e-34,103.3,0.0,8.4e-28,83.7,0.0,2.5,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-332-I03
85,CrtB,Phyto_syn_CrtB,NF042419.1,AH-470-C17_AH-470-C17_contigs_AH-470-C17_NODE_45_1,-,2.4e-30,92.1,0.6,4.8e-29,87.8,0.6,2.0,1,1,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-470-C17
86,CrtB,Phyto_syn_CrtB,NF042419.1,AH-735-N13_AH-735-N13_contigs_AH-735-N13_NODE_32_8,-,2e-35,108.8,0.0,3.2e-28,85.1,0.0,2.8,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-735-N13
87,CrtB,Phyto_syn_CrtB,NF042419.1,AM-332-N20_AM-332-N20_contigs_AM-332-N20_NODE_3_2,-,1.8e-36,112.2,0.0,9.4e-27,80.3,0.0,2.8,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-332-N20
88,CrtB,Phyto_syn_CrtB,NF042419.1,AH-611-I23_AH-611-I23_contigs_AH-611-I23_NODE_6_18,-,6.8e-37,113.6,0.2,5.2e-31,94.3,0.4,2.8,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-611-I23
89,CrtB,Phyto_syn_CrtB,NF042419.1,AM-130-K09_AM-130-K09_contigs_AM-130-K09_NODE_2_28,-,6.7e-36,110.3,0.0,2.8e-30,91.9,0.0,2.7,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-130-K09
90,CrtB,Phyto_syn_CrtB,NF042419.1,AM-332-N13_AM-332-N13_contigs_AM-332-N13_NODE_43_2,-,5.6e-40,123.7,0.1,2.9e-33,101.7,0.1,2.0,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-332-N13
91,CrtB,Phyto_syn_CrtB,NF042419.1,AM-259-O02_AM-259-O02_contigs_AM-259-O02_NODE_41_2,-,5e-36,110.8,0.0,1e-26,80.1,0.0,2.8,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-259-O02
92,CrtB,Phyto_syn_CrtB,NF042419.1,AM-685-M06_AM-685-M06_contigs_SCGC_AM-685-M06_contig19_8,-,3.3e-35,108.1,0.0,1.2e-30,93.1,0.0,2.6,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-685-M06
93,CrtB,Phyto_syn_CrtB,NF042419.1,AH-982-B09_AH-982-B09_contigs_AH-982-B09_NODE_47_3,-,1.7e-33,102.4,0.0,1e-28,86.8,0.1,2.9,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-982-B09
