gene_id,description,descr_score,best_score,pfam_acc
AG-538-I10_NODE_4_36,Protein DETOXIFICATION (Multidrug and toxic compound extrusion protein),173,173,PF01554
AG-538-J23_NODE_9_3,AsmA domain-containing protein,1779,1779,
AG-538-J23_NODE_9_18,Glycosyltransferase RgtA/B/C/D-like domain-containing protein,362,362,PF13231
AG-538-L09_NODE_27_3,SCP2 domain-containing protein,703,775,
AG-538-N07_NODE_14_3,SCP2 domain-containing protein,704,766,
AG-538-N07_NODE_14_5,Inner-membrane translocator,626,626,
AG-538-N07_NODE_14_7,4'-phosphopantetheinyl transferase domain-containing protein,130,428,
AG-538-N13_NODE_14_4,Protein kinase domain-containing protein,130,445,
AG-538-N13_NODE_14_6,"Transmembrane protein, putative",153,166,
AG-538-N13_NODE_14_8,SCP2 domain-containing protein,717,768,
AG-538-O07_NODE_12_3,SCP2 domain-containing protein,699,767,
AG-538-O07_NODE_12_5,SAP domain-containing protein,131,131,
AG-538-O07_NODE_12_7,Beta-lactamase-related domain-containing protein,145,478,
AH-302-A14_NODE_8_2,GP-PDE domain-containing protein,906,906,
AH-302-A14_NODE_8_9,ARID domain-containing protein,77,81,
AH-302-A14_NODE_8_19,SGNH hydrolase-type esterase domain-containing protein,919,919,
AH-302-C16_NODE_2_7,DUF2281 domain-containing protein,310,377,
AH-302-C16_NODE_2_36,Tetratricopeptide repeat protein,455,579,
AH-302-J23_NODE_61_3,Lipoprotein,238,238,
AH-302-L09_NODE_11_1,FAD-dependent pyridine nucleotide-disulfide oxidoreductase,349,349,PF01494
AH-302-L09_NODE_11_12,Transposase zinc-binding domain-containing protein,234,292,
AH-302-L19_NODE_23_8,HD domain-containing protein,1021,1021,PF01966
AH-302-M20_NODE_2_16,Crossover junction endodeoxyribonuclease,841,841,"PF02075,PF07066"
AH-302-M20_NODE_2_19,Cell envelope biogenesis protein TolA,973,973,
AH-302-M20_NODE_2_31,Transport permease protein,1253,1253,PF01061
AH-302-M20_NODE_2_46,C2H2-type domain-containing protein,84,97,
AH-302-M20_NODE_2_57,Glycosyl transferase,1325,1325,PF00535
AH-302-M20_NODE_2_70,Cryptochrome/DNA photolyase FAD-binding domain-containing protein,603,750,
AH-302-M20_NODE_2_81,Predicted homoserine dehydrogenase (EC 1.1.1.3),2702,2702,"PF08666,PF21135,PF01408"
AH-302-M20_NODE_2_86,Glycosyltransferase RgtA/B/C/D-like domain-containing protein,1365,1510,
AH-302-M20_NODE_2_90,Tetratricopeptide repeat protein,433,613,
AH-302-M20_NODE_2_94,AraC-type arabinose-binding/dimerisation domain-containing protein,776,776,
AH-302-M20_NODE_2_98,JAB domain-containing protein,124,536,
AH-302-M20_NODE_2_111,MORN repeat protein,767,767,PF02493
AH-302-M20_NODE_2_112,Fibrobacter succinogenes major paralogous domain-containing protein,123,133,
AH-302-M20_NODE_2_115,Apolipoprotein N-acyltransferase,96,99,
AH-302-M20_NODE_3_5,Apoptotic chromatin condensation inducer in the nucleus,1086,1086,
AH-302-M20_NODE_3_22,Organic solvent tolerance-like N-terminal domain-containing protein,930,930,PF06835
AH-302-M20_NODE_3_48,Integrase catalytic domain-containing protein,83,89,
AH-302-M20_NODE_3_50,Methyltransferase,113,129,
AH-302-M20_NODE_3_52,Acetaldehyde dehydrogenase (acetylating) (EC 1.2.1.10),220,237,
AH-302-M20_NODE_3_54,DUF3606 domain-containing protein,146,154,
AH-302-M20_NODE_3_58,Carbohydrate kinase FGGY C-terminal domain-containing protein,1716,1716,PF21546
AH-302-M20_NODE_3_63,GP-PDE domain-containing protein,855,855,
AH-302-M20_NODE_3_64,Glycosyltransferase RgtA/B/C/D-like domain-containing protein,641,962,
AH-302-M20_NODE_3_76,Phosphoadenylyl-sulfate reductase (EC 1.8.4.8),187,428,
AH-302-M20_NODE_3_80,3-deoxy-manno-octulosonate cytidylyltransferase,176,176,
AH-302-M20_NODE_3_89,Capsular polysaccharide assembling protein CapF C-terminal domain-containing protein,616,616,PF14667
AH-302-M20_NODE_3_97,ATP-grasp domain-containing protein,1605,1605,PF08443
AH-302-M20_NODE_3_98,Glycosyltransferase 2-like domain-containing protein,1035,1173,
AH-302-M20_NODE_3_99,Glycosyltransferase RgtA/B/C/D-like domain-containing protein,952,1004,
AH-302-M20_NODE_3_102,Fatty acid desaturase domain-containing protein,814,814,PF00487
AH-302-M20_NODE_3_105,AAA family ATPase,332,337,
AH-302-M20_NODE_3_107,Glycosyltransferase RgtA/B/C/D-like domain-containing protein,1172,1172,
AH-302-M20_NODE_3_118,Amine oxidase domain-containing protein,294,294,
AH-302-M20_NODE_3_121,O-antigen ligase,1106,1119,
AH-302-M20_NODE_3_122,Serine hydroxymethyltransferase,71,91,
AH-302-P11_NODE_6_6,EamA domain-containing protein,1096,1096,PF00892
AH-302-P11_NODE_6_11,Histidine-specific methyltransferase SAM-dependent domain-containing protein,1731,1731,
AH-302-P11_NODE_6_33,Steroid 5-alpha reductase C-terminal domain-containing protein,921,921,PF04191
AH-302-P11_NODE_6_36,Glycosyltransferase 2-like domain-containing protein,1272,1327,
AH-302-P11_NODE_9_2,Imelysin-like domain-containing protein,424,687,
AH-302-P11_NODE_9_3,CCHC-type domain-containing protein,122,368,
AH-302-P11_NODE_9_6,Ran-binding protein 3,87,467,
AH-302-P11_NODE_9_13,Holliday junction ATP-dependent DNA helicase RuvA (EC 3.6.4.12),110,218,
AH-302-P11_NODE_9_20,Protein kinase domain-containing protein,130,445,
AH-302-P11_NODE_9_22,Inner-membrane translocator,617,617,
AH-302-P11_NODE_9_24,SCP2 domain-containing protein,719,767,
AH-302-P11_NODE_9_31,HD domain-containing protein,1039,1039,PF01966
AH-305-A06_NODE_1_13,Glycosyl transferase,1603,1603,PF00535
AH-305-A06_NODE_1_35,Exonuclease VII small subunit,307,308,
AH-305-A06_NODE_1_38,Transport permease protein,1243,1243,PF01061
AH-305-A06_NODE_1_39,Zinc ribbon domain-containing protein,403,403,
AH-305-A06_NODE_1_53,Cell envelope biogenesis protein TolA,922,922,
AH-305-A06_NODE_1_56,Crossover junction endodeoxyribonuclease,852,852,"PF02075,PF07066"
AH-305-A06_NODE_1_72,MORN motif-containing protein,1127,1166,
AH-305-K03_NODE_1_15,Zinc ribbon domain-containing protein,76,161,
AH-305-K03_NODE_1_17,Phosphohydrolase,333,357,
AH-305-K03_NODE_1_18,Transport permease protein,1241,1241,PF01061
AH-305-K03_NODE_1_21,Exonuclease VII small subunit,330,330,
AH-305-K03_NODE_1_45,Glycosyl transferase,1591,1591,PF00535
AH-305-K03_NODE_1_58,Tetratricopeptide repeat protein,446,754,
AH-305-K03_NODE_1_61,Pyrrolo-quinoline quinone repeat domain-containing protein,2505,2505,PF13360
AH-305-K03_NODE_1_62,AraC-type arabinose-binding/dimerisation domain-containing protein,784,784,
AH-305-K03_NODE_1_68,Cell division protein FtsZ,133,537,
AH-305-K19_NODE_3_12,Steroid 5-alpha reductase C-terminal domain-containing protein,880,880,PF04191
AH-305-K19_NODE_3_14,MORN repeat protein,898,903,
AH-305-K19_NODE_3_29,Tetratricopeptide repeat protein,454,555,
AH-305-K19_NODE_3_32,Methyltransferase domain-containing protein,798,798,PF13489
AH-305-K19_NODE_3_33,Sugar O-methyltransferase,954,954,
AH-305-K19_NODE_3_49,Crossover junction endodeoxyribonuclease,850,850,
AH-305-K19_NODE_3_52,Cell envelope biogenesis protein TolA,911,911,
AH-305-K19_NODE_3_64,Nicotinamide mononucleotide transporter,351,351,
AH-305-K19_NODE_3_69,Zinc ribbon domain-containing protein,420,420,
AH-305-K19_NODE_5_19,C-type lysozyme inhibitor domain-containing protein,242,577,
AH-305-K19_NODE_5_20,BQ5605_C010g06096 protein,164,471,
AH-305-K19_NODE_5_22,Imelysin-like domain-containing protein,439,712,
AH-305-K19_NODE_5_23,C2H2-type domain-containing protein,129,337,
AH-305-K19_NODE_5_26,RNA helicase (EC 3.6.4.13),100,100,"PF00270,PF00271"
AH-305-K19_NODE_5_33,RING/Ubox-like zinc-binding domain-containing protein,90,218,
AH-305-K19_NODE_5_40,Ubiquitin-like protease family profile domain-containing protein,123,445,
AH-305-K19_NODE_5_42,Inner-membrane translocator,617,617,
AH-305-K19_NODE_5_44,SCP2 domain-containing protein,719,767,
AH-305-K19_NODE_5_51,HD domain-containing protein,1025,1025,PF01966
AH-305-K23_NODE_9_1,Phosphoribulokinase/uridine kinase domain-containing protein,517,517,
AH-305-K23_NODE_9_5,Glycosyl transferase,1645,1645,PF00535
AH-305-K23_NODE_9_15,AAA domain-containing protein,144,398,
AH-305-K23_NODE_9_19,Nicotinamide mononucleotide transporter,326,326,
AH-305-K23_NODE_9_20,Secretion system C-terminal sorting domain-containing protein,139,139,PF18962
AH-305-M13_NODE_9_1,Short chain dehydrogenase,81,81,
AH-305-M13_NODE_9_13,Glycosyl transferase,1613,1613,PF00535
AH-305-M13_NODE_9_26,Tetratricopeptide repeat protein,443,747,
AH-305-M13_NODE_9_28,Ancillary SecYEG translocon subunit/Cell division coordinator CpoB TPR domain-containing protein,1066,1066,PF09976
AH-305-M13_NODE_9_30,AraC-type arabinose-binding/dimerisation domain-containing protein,823,823,
AH-305-M13_NODE_9_35,Sulfotransferase domain-containing protein,399,399,
AH-305-P08_NODE_1_1,DarT domain-containing protein,864,1016,PF22397
AH-305-P08_NODE_1_2,Inhibitor of growth protein N-terminal histone-binding domain-containing protein,145,155,PF04947
AH-305-P08_NODE_1_26,Gram-positive cocci surface proteins LPxTG domain-containing protein,115,467,
AH-305-P08_NODE_1_31,50S ribosomal protein L31,247,247,
AH-305-P08_NODE_1_46,ABC transporter ATP-binding protein,480,480,"PF00005,PF12399"
AH-305-P08_NODE_1_53,MFS transporter,1960,1960,PF07690
AH-305-P08_NODE_1_61,Glycosyltransferase RgtA/B/C/D-like domain-containing protein,839,839,PF13231
AH-305-P08_NODE_1_64,Pyrrolo-quinoline quinone repeat domain-containing protein,2679,2679,PF01011
AH-305-P08_NODE_1_68,HD domain-containing protein,965,965,PF01966
AH-305-P08_NODE_2_17,Steroid 5-alpha reductase C-terminal domain-containing protein,906,906,PF04191
AH-305-P08_NODE_2_18,Methyltransferase type 11 domain-containing protein,1141,1141,PF08241
AH-305-P08_NODE_2_30,Sulfatase N-terminal domain-containing protein,663,663,PF00884
AH-305-P08_NODE_2_49,Exonuclease VII small subunit,293,293,
AH-307-G21_NODE_16_21,Glycosyl transferase,1619,1619,PF00535
AH-307-I04_NODE_6_5,Glycosyl transferase,1607,1607,PF00535
AH-307-I04_NODE_6_20,Peroxisomal biogenesis protein,103,103,PF24079
AH-307-I04_NODE_6_34,Exonuclease VII small subunit,341,341,
AH-307-I04_NODE_6_51,Cell envelope biogenesis protein TolA,936,936,
AH-307-I04_NODE_6_54,Crossover junction endodeoxyribonuclease,843,843,"PF02075,PF07066"
AH-307-L06_NODE_2_1,PEGA domain-containing protein,396,396,
AH-307-L06_NODE_2_28,Type II secretion system protein GspG C-terminal domain-containing protein,572,572,
AH-307-L06_NODE_2_58,SCP2 domain-containing protein,719,778,
AH-307-L06_NODE_2_60,Pentacotripeptide-repeat region of PRORP domain-containing protein,136,169,
AH-307-L06_NODE_2_62,Chromo domain-containing protein,135,461,
AH-307-L06_NODE_2_69,Ribbon-helix-helix / copG family protein,99,104,
AH-307-L06_NODE_2_79,Formin-binding protein 4,128,346,
AH-307-L06_NODE_2_80,Imelysin-like domain-containing protein,411,657,
AH-307-L06_NODE_2_85,Type IV pilus biogenesis protein PilO,426,426,PF04350
AH-307-L06_NODE_2_86,Type VI secretion system lipoprotein TssJ,265,265,
AH-307-N20_NODE_19_1,4-hydroxybenzoate octaprenyltransferase,126,126,
AH-307-N20_NODE_19_2,Aste57867_18500 protein,93,300,
AH-307-N20_NODE_19_12,Drug/metabolite transporter (DMT)-like permease,550,550,
AH-309-A13_NODE_23_4,Potassium channel domain-containing protein,87,87,PF07885
AH-309-A13_NODE_23_5,PEGA domain-containing protein,121,341,
AH-468-K22_NODE_12_14,D-glucuronyl C5-epimerase C-terminal domain-containing protein,1311,1311,
AH-470-A05_NODE_4_2,DUF718 domain-containing protein,411,411,
AH-470-A05_NODE_4_3,Molecular chaperone Tir,1022,1022,PF02493
AH-470-A05_NODE_4_6,HEPN domain-containing protein,322,540,
AH-470-A05_NODE_4_11,DUF1330 domain-containing protein,79,79,PF07045
AH-470-A05_NODE_4_12,Integrase (EC 1.8.1.9),248,248,PF00589
AH-470-A05_NODE_4_14,DUF4440 domain-containing protein,698,703,
AH-470-A05_NODE_4_20,Tetratricopeptide repeat protein,195,420,
AH-470-A05_NODE_4_31,DUF2811 domain-containing protein,111,111,PF10929
AH-470-B03_NODE_7_18,O-GlcNAc transferase C-terminal domain-containing protein,1206,1206,
AH-470-B03_NODE_7_19,LPS biosynthesis protein,2147,2147,
AH-470-B03_NODE_7_25,Major facilitator superfamily (MFS) profile domain-containing protein,1625,1625,PF07690
AH-470-B03_NODE_7_26,AAA family ATPase,97,130,
AH-470-B03_NODE_7_30,Succinate dehydrogenase hydrophobic membrane anchor subunit,407,407,PF01127
AH-470-B04_NODE_24_1,FAD binding domain-containing protein,78,78,
AH-470-B06_NODE_11_13,Glycosyl transferase,1289,1303,
AH-470-B06_NODE_16_2,Putative disease resistance protein RGA3,86,86,"PF18052,PF23559,PF00931"
AH-470-B06_NODE_16_5,HD domain-containing protein,918,918,PF01966
AH-470-B06_NODE_16_12,SCP2 domain-containing protein,730,777,
AH-470-B06_NODE_16_14,Inner-membrane translocator,326,326,
AH-470-B06_NODE_16_16,ABC transporter permease,224,448,
AH-470-B06_NODE_16_23,Lipoyl-binding domain-containing protein,133,133,PF00364
AH-470-C06_NODE_11_11,SCP2 domain-containing protein,702,743,
AH-470-C06_NODE_11_13,DUF4364 family protein,180,180,PF14277
AH-470-E07_NODE_2_9,Thioredoxin family protein,317,317,
AH-470-E07_NODE_2_10,SET domain-containing protein,96,96,
AH-470-E07_NODE_2_12,Adenylyl-sulfate reductase,1147,1147,
AH-470-E07_NODE_2_15,DUF3887 domain-containing protein,543,543,
AH-470-E07_NODE_2_18,E2 ubiquitin-conjugating enzyme (EC 2.3.2.23),121,121,
AH-470-E07_NODE_2_19,ABC transporter substrate-binding protein,134,552,
AH-470-E07_NODE_2_20,peptidylprolyl isomerase (EC 5.2.1.8),1029,1029,
AH-470-E07_NODE_2_22,Circadian input-output histidine kinase CikA (EC 2.7.13.3) (Sensory/regulatory protein RpfC),140,140,"PF02518,PF00072,PF00512,PF08447,PF13426,PF08448"
AH-470-E07_NODE_2_23,GIY-YIG domain-containing protein,201,283,
AH-470-E07_NODE_2_49,DUF2384 domain-containing protein,693,693,PF09722
AH-470-E07_NODE_2_62,Molybdopterin synthase sulfur carrier subunit,421,421,PF02597
AH-470-E07_NODE_2_75,Dynactin subunit 1 isoform X2,89,89,PF12455
AH-470-E07_NODE_2_76,RRP15-like protein,100,107,
AH-470-F08_NODE_17_3,Response regulator transcription factor,82,200,
AH-470-F08_NODE_17_9,ABC transporter permease,215,437,
AH-470-F08_NODE_17_11,Inner-membrane translocator,328,328,
AH-470-F08_NODE_17_13,SCP2 domain-containing protein,721,767,
AH-470-F08_NODE_4_10,Alginate lyase domain-containing protein,1253,1253,PF05426
AH-470-F08_NODE_4_34,Exonuclease VII small subunit,276,276,
AH-470-G05_NODE_29_1,Putative phosphatidylinositol-4-phosphate 5-kinase (EC 2.1.1.43),558,647,
AH-470-G05_NODE_29_5,VOC domain-containing protein,2494,2494,
AH-470-G05_NODE_29_6,Reverse transcriptase Ty1/copia-type domain-containing protein,63,69,
AH-470-G05_NODE_29_7,Fibronectin type-III domain-containing protein,1446,1446,
AH-470-G08_NODE_2_6,WSC domain-containing protein,179,179,"PF12937,PF03659,PF12014,PF01822"
AH-470-G08_NODE_2_15,Sporulation-specific protein 75,79,79,"PF13967,PF02714,PF14703"
AH-470-G08_NODE_2_17,SAM-dependent methyltransferase,996,996,PF08241
AH-470-G08_NODE_2_18,Methyltransferase domain-containing protein,968,968,PF08241
AH-470-G08_NODE_2_20,Fe-S protein YdhL (DUF1289 family),81,174,
AH-470-G08_NODE_2_24,DUF4386 domain-containing protein,621,667,
AH-470-G08_NODE_2_25,Surface-adhesin protein E-like domain-containing protein,497,1323,
AH-470-G08_NODE_2_28,Methyltransferase domain-containing protein,1016,1016,PF08241
AH-470-G08_NODE_2_29,O-antigen ligase-related domain-containing protein,804,804,PF04932
AH-470-G08_NODE_2_34,Imelysin-like domain-containing protein,1030,1030,PF09375
AH-470-G08_NODE_2_55,Surface-adhesin protein E-like domain-containing protein,574,574,PF16747
AH-470-G08_NODE_2_75,Inner-membrane translocator,388,388,
AH-470-G08_NODE_2_76,DUF1508 domain-containing protein,170,170,
AH-470-G13_NODE_9_1,Nicotinate-nucleotide diphosphorylase (Carboxylating) (EC 2.4.2.19),98,98,
AH-470-G13_NODE_9_16,DUF2218 domain-containing protein,129,129,
AH-470-G14_NODE_2_2,Rhodopsin domain-containing protein,106,106,PF20684
AH-470-G14_NODE_2_6,DUF3887 domain-containing protein,603,641,
AH-470-G14_NODE_2_50,SET domain-containing protein,625,625,PF00856
AH-470-G14_NODE_2_79,Peptidase M43 pregnancy-associated plasma-A domain-containing protein,1719,1719,
AH-470-G14_NODE_2_80,S-methyl-5-thioribose-1-phosphate isomerase,321,321,
AH-470-I05_NODE_3_1,Dihydropteroate synthase,103,103,
AH-470-I05_NODE_3_8,Exonuclease VII small subunit,260,260,
AH-470-I05_NODE_3_31,Alginate lyase domain-containing protein,1218,1218,PF05426
AH-470-I05_NODE_3_37,TolC family protein,153,153,
AH-470-I08_NODE_14_6,NIL domain-containing protein,316,410,
AH-470-I08_NODE_14_12,DUF2069 domain-containing protein,405,439,
AH-470-I08_NODE_14_16,NIPSNAP domain-containing protein,785,1310,
AH-470-I08_NODE_14_17,NIPSNAP domain-containing protein,1007,1185,
AH-470-I19_NODE_8_8,Glutathione S-transferase,241,241,
AH-470-I19_NODE_8_15,LRR receptor-like serine/threonine-protein kinase FLS2-like protein,79,85,
AH-470-I19_NODE_8_16,Zinc ribbon domain-containing protein,407,407,
AH-470-I19_NODE_8_28,CopG family transcriptional regulator,99,133,
AH-470-I22_NODE_1_9,Choline transporter,1344,1344,
AH-470-I22_NODE_1_10,DUF2306 domain-containing protein,1106,1106,
AH-470-I22_NODE_1_21,VOC domain-containing protein,2526,2526,
AH-470-I22_NODE_1_25,Molecular chaperone Tir,648,730,
AH-470-I22_NODE_1_33,Sialidase domain-containing protein,1909,1909,
AH-470-I22_NODE_1_34,Cupin domain-containing protein,762,762,
AH-470-I22_NODE_1_36,NIPSNAP domain-containing protein,444,689,
AH-470-I22_NODE_1_38,Cupin domain-containing protein,1155,1155,
AH-470-I22_NODE_1_59,Protein TolA,109,109,PF13103
AH-470-J19_NODE_1_12,Glycosyl transferase,1322,1371,
AH-470-K14_NODE_10_13,DUF5667 domain-containing protein,166,166,
AH-470-K14_NODE_10_14,Wzt C-terminal domain-containing protein,853,853,PF22091
AH-470-K14_NODE_10_15,Carboxymuconolactone decarboxylase-like domain-containing protein,282,282,
AH-470-K14_NODE_10_16,HTH araC/xylS-type domain-containing protein,207,207,
AH-470-K16_NODE_8_10,Methyltransferase FkbM domain-containing protein,264,264,PF05050
AH-470-K16_NODE_8_19,Tetratricopeptide repeat-containing protein,827,827,"PF13174,PF00515,PF13181,PF13414,PF13432,PF07719"
AH-470-L18_NODE_26_2,SnoaL-like domain-containing protein,439,439,PF12680
AH-470-L18_NODE_26_6,TMEM205-like domain-containing protein,576,576,PF13664
AH-470-M19_NODE_19_2,Inner-membrane translocator,303,303,
AH-470-M19_NODE_19_4,SCP2 domain-containing protein,717,771,
AH-470-M19_NODE_19_10,HD domain-containing protein,935,935,PF01966
AH-470-N10_NODE_1_5,Crossover junction endodeoxyribonuclease,820,820,"PF02075,PF07066"
AH-470-N10_NODE_1_8,Cell envelope biogenesis protein TolA,913,913,
AH-470-N10_NODE_1_24,Transport permease protein,1185,1185,PF01061
AH-470-N10_NODE_1_27,Exonuclease VII small subunit,281,281,
AH-470-N10_NODE_1_53,Glycosyltransferase RgtA/B/C/D-like domain-containing protein,633,633,PF13231
AH-470-N10_NODE_1_54,Glycosyl transferase,1251,1251,PF00535
AH-470-N10_NODE_1_67,Lipoprotein,140,140,
AH-470-N15_NODE_3_36,Tetratricopeptide repeat protein,439,547,
AH-470-O06_NODE_6_4,DUF6973 domain-containing protein,624,624,PF22322
AH-470-O06_NODE_6_15,Lipocalin-like domain-containing protein,519,519,PF13648
AH-470-O06_NODE_6_31,Ribonuclease Z,371,521,
AH-470-O06_NODE_6_34,CoA-binding protein,616,616,PF13380
AH-470-O06_NODE_6_35,Phosphatidylinositol 4-phosphate 5-kinase (EC 2.7.1.68),194,194,"PF02493,PF01504"
AH-470-O06_NODE_6_39,Steroid delta-isomerase,1360,1362,
AH-470-O06_NODE_6_47,Lipid/polyisoprenoid-binding YceI-like domain-containing protein,1018,1018,PF04264
AH-470-O06_NODE_6_55,SRPBCC family protein,748,748,
AH-470-O17_NODE_2_7,Golgin candidate 5,83,91,
AH-470-O17_NODE_2_8,Zinc ribbon domain-containing protein,414,414,
AH-470-O17_NODE_2_24,Ribbon-helix-helix protein CopG domain-containing protein,80,85,
AH-470-O17_NODE_2_46,DOD-type homing endonuclease domain-containing protein,1724,1724,
AH-470-O17_NODE_2_47,DUF4048 domain-containing protein,97,111,
AH-470-O17_NODE_2_48,Cardiolipin synthase N-terminal domain-containing protein,81,88,
AH-470-O17_NODE_2_51,Phorbol-ester/DAG-type domain-containing protein,79,79,PF00583
AH-470-O19_NODE_17_9,Solute-binding protein family 3/N-terminal domain-containing protein,1444,1444,PF00497
AH-470-P09_NODE_19_1,DUF3566 domain-containing protein,100,101,
AH-470-P11_NODE_6_13,Crossover junction endodeoxyribonuclease,819,819,"PF02075,PF07066"
AH-470-P11_NODE_6_16,Cell envelope biogenesis protein TolA,892,892,
AH-470-P11_NODE_6_29,Exonuclease VII small subunit,263,263,
AH-470-P11_NODE_6_67,Tetratricopeptide repeat protein,459,564,
AH-470-P11_NODE_6_72,Tetratricopeptide repeat domain protein,692,692,"PF04212,PF00515,PF13181,PF07719"
AH-470-P15_NODE_3_24,Tetratricopeptide repeat protein,457,572,
AH-470-P15_NODE_3_46,Ancillary SecYEG translocon subunit/Cell division coordinator CpoB TPR domain-containing protein,681,839,
AH-470-P15_NODE_3_48,AraC-type arabinose-binding/dimerisation domain-containing protein,830,830,
AH-470-P15_NODE_3_51,Cryptochrome/DNA photolyase FAD-binding domain-containing protein,588,730,
AH-470-P15_NODE_3_57,Immunoglobulin A1 protease (EC 3.4.24.13),145,593,
AH-470-P15_NODE_3_63,Winged helix DNA-binding domain-containing protein,472,500,
AH-470-P15_NODE_3_66,Organic solvent tolerance-like N-terminal domain-containing protein,473,630,
AH-470-P15_NODE_3_67,MORN repeat protein,779,779,PF02493
AH-470-P15_NODE_3_68,Type II secretion system protein,154,154,
AH-470-P15_NODE_3_80,Thrombospondin type 3 repeat-containing protein,82,82,PF02412
AH-470-P19_NODE_7_1,3-phosphoglycerate dehydrogenase,242,242,
AH-470-P19_NODE_7_21,Repeat protein (TIGR03806 family),1712,1712,
AH-470-P19_NODE_7_23,DUF4760 domain-containing protein,476,481,
AH-470-P20_NODE_3_19,Beta-xylosidase,148,165,
AH-470-P20_NODE_3_21,Tetratricopeptide repeat-containing protein,817,817,"PF13174,PF00515,PF13181,PF13414,PF13432,PF07719"
AH-473-A19_NODE_2_29,Exonuclease VII small subunit,278,278,
AH-473-A19_NODE_2_42,Cell envelope biogenesis protein TolA,1003,1003,
AH-473-A19_NODE_2_45,Crossover junction endodeoxyribonuclease,821,821,"PF02075,PF07066"
AH-473-A19_NODE_2_61,Twin-arginine translocation signal domain-containing protein,81,81,
AH-473-A19_NODE_2_67,Glycosyltransferase 2-like domain-containing protein,429,429,PF00535
AH-473-A19_NODE_2_68,Glycosyltransferase RgtA/B/C/D-like domain-containing protein,424,538,
AH-473-B13_NODE_2_1,Cyclin N-terminal domain-containing protein,69,69,PF00134
AH-473-B13_NODE_2_3,CEP63 protein,112,112,PF17045
AH-473-B13_NODE_2_16,HD domain-containing protein,1031,1031,PF01966
AH-473-B13_NODE_2_23,SCP2 domain-containing protein,719,767,
AH-473-B13_NODE_2_25,Inner-membrane translocator,604,604,
